Tabelle: 12411-001
Bevölkerung: Gemeinden, Stichtage (letzten 6);;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerung (Anzahl);;
;;31.12.2024
09273137;      Kelheim, St;17066
09273139;      Kirchdorf;934
09273141;      Langquaid, M;5936
09273147;      Mainburg, St;15271
09273152;      Neustadt a.d.Donau, St;14778
09273159;      Painten, M;2252
09273163;      Elsendorf;2127
09273164;      Riedenburg, St;6090
09273165;      Rohr i.NB, M;3507
09273166;      Saal a.d.Donau;5685
09273172;      Siegenburg, M;4160
09273175;      Teugn;1731
09273177;      Train;1957
09273178;      Volkenschwand;1750
09273181;      Wildenberg;1422
09273444;      Gemeindefreie Gebiete;-
09274;    Landshut (Lkr);162170
09274111;      Adlkofen;4517
09274112;      Aham;1951
09274113;      Altdorf, M;11300
09274114;      Altfraunhofen;2559
09274118;      Baierbach;732
09274119;      Bayerbach b.Ergoldsbach;1993
09274120;      Bodenkirchen;5262
09274121;      Buch a.Erlbach;3929
09274124;      Eching;4254
09274126;      Ergolding, M;13323
09274127;      Ergoldsbach, M;8491
09274128;      Essenbach, M;11998
09274132;      Furth;3630
09274134;      Geisenhausen, M;7278
09274135;      Gerzen;1878
09274141;      Hohenthann;4270
09274145;      Kröning;2052
09274146;      Kumhausen;5538
09274153;      Neufahrn i.NB;4263
09274154;      Neufraunhofen;1052
09274156;      Niederaichbach;4220
09274165;      Obersüßbach;1664
09274172;      Pfeffenhausen, M;5441
09274174;      Postau;1695
09274176;      Rottenburg a.d.Laaber, St;8486
09274179;      Schalkham;917
09274182;      Tiefenbach;3962
09274183;      Velden, M;6491
09274184;      Vilsbiburg, St;12237
09274185;      Vilsheim;2729
09274187;      Weihmichl;2416
09274188;      Weng;1373
09274191;      Wörth a.d.Isar;3214
09274193;      Wurmsham;1355
09274194;      Bruckberg;5700
09275;    Passau (Lkr);194699
09275111;      Aicha vorm Wald;2474
09275112;      Aidenbach, M;3005
09275114;      Aldersbach;4310
09275116;      Bad Füssing;7981
09275117;      Beutelsbach;1215
09275118;      Breitenberg;1972
09275119;      Büchlberg;4371
09275120;      Eging a.See, M;4168
09275121;      Fürstenstein;3492
09275122;      Fürstenzell, M;8565
09275124;      Bad Griesbach i.Rottal, St;8952
09275125;      Haarbach;2456
09275126;      Hauzenberg, St;11965
09275127;      Hofkirchen, M;3534
09275128;      Hutthurm, M;6332
09275130;      Kirchham;2763
09275131;      Kößlarn, M;1867
09275132;      Malching;1229
09275133;      Neuburg a.Inn;4496
09275134;      Neuhaus a.Inn;3419
09275135;      Neukirchen vorm Wald;2996
09275137;      Obernzell, M;3638
09275138;      Ortenburg, M;7330
09275141;      Pocking, St;16414
09275143;      Rotthalmünster, M;4676
09275144;      Ruderting;3063
09275145;      Ruhstorf a.d.Rott, M;7115
09275146;      Salzweg;6533
09275148;      Sonnen;1441
09275149;      Tettenweis;1866
09275150;      Thyrnau;4150
09275151;      Tiefenbach;6650
09275152;      Tittling, M;4197
09275153;      Untergriesbach, M;6033
09275154;      Vilshofen an der Donau, St;18084
09275156;      Wegscheid, M;5394
09275159;      Windorf, M;5005
09275160;      Witzmannsberg;1548
09276;    Regen (Lkr);77267
09276111;      Achslach;969
09276113;      Arnbruck;2031
09276115;      Bayerisch Eisenstein;965
09276116;      Bischofsmais;3331
09276117;      Bodenmais, M;3641
09276118;      Böbrach;1564
09276120;      Drachselsried;2375
09276121;      Frauenau;2659
09276122;      Geiersthal;2228
09276123;      Gotteszell;1148
09276126;      Kirchberg i.Wald;4392
09276127;      Kirchdorf i.Wald;2027
09276128;      Kollnburg;2734
09276129;      Langdorf;1836
09276130;      Lindberg;2259
09276134;      Patersdorf;1721
09276135;      Prackenbach;2759
09276138;      Regen, St;11018
09276139;      Rinchnach;3111
09276142;      Ruhmannsfelden, M;2023
09276143;      Teisnach, M;3000
09276144;      Viechtach, St;8361
09276146;      Zachenberg;2056
09276148;      Zwiesel, St;9059
09277;    Rottal-Inn (Lkr);120497
09277111;      Arnstorf, M;6495
09277112;      Bayerbach;1674
09277113;      Bad Birnbach, M;5833
09277114;      Dietersburg;2985
09277116;      Eggenfelden, St;14271
09277117;      Egglham;2262
09277118;      Ering;1839
09277119;      Falkenberg;3921
09277121;      Gangkofen, M;6161
09277122;      Geratskirchen;858
09277124;      Hebertsfelden;3633
09277126;      Johanniskirchen;2324
09277127;      Julbach;2288
09277128;      Kirchdorf a.Inn;5341
09277131;      Malgersdorf;1211
09277133;      Massing, M;4067
09277134;      Mitterskirchen;2172
09277138;      Pfarrkirchen, St;12764
09277139;      Postmünster;2419
09277140;      Reut;1634
09277141;      Rimbach;942
09277142;      Roßbach;2920
09277144;      Schönau;1860
09277145;      Simbach a.Inn, St;10261
09277147;      Stubenberg;1438
09277148;      Tann, M;3813
09277149;      Triftern, M;5428
09277151;      Unterdietfurt;2249
09277152;      Wittibreut;1940
09277153;      Wurmannsquick, M;3364
09277154;      Zeilarn;2130
09278;    Straubing-Bogen (Lkr);103041
09278112;      Aholfing;1903
09278113;      Aiterhofen;3563
09278116;      Ascha;1592
09278117;      Atting;1673
09278118;      Bogen, St;10453
09278120;      Falkenfels;1019
09278121;      Feldkirchen;1999
09278123;      Geiselhöring, St;6964
09278129;      Haibach;2036
09278134;      Haselbach;1875
09278139;      Hunderdorf;3238
09278140;      Irlbach;1124
09278141;      Kirchroth;3958
09278143;      Konzell;1838
09278144;      Laberweinting;3531
09278146;      Leiblfing;4349
09278147;      Loitzendorf;635
09278148;      Mallersdorf-Pfaffenberg, M;6722
09278149;      Mariaposching;1402
09278151;      Mitterfels, M;2760
09278154;      Neukirchen;1839
09278159;      Niederwinkling;2930
09278167;      Oberschneiding;3290
09278170;      Parkstetten;3323
09278171;      Perasdorf;526
09278172;      Perkam;1605
09278177;      Rain;2969
09278178;      Rattenberg;1671
09278179;      Rattiszell;1510
09278182;      Salching;2742
09278184;      Sankt Englmar;1827
09278187;      Schwarzach, M;2940
09278189;      Stallwang;1421
09278190;      Steinach;3390
09278192;      Straßkirchen;3489
09278197;      Wiesenfelden;3912
09278198;      Windberg;1023
09279;    Dingolfing-Landau (Lkr);101035
09279112;      Dingolfing, St;20749
09279113;      Eichendorf, M;6651
09279115;      Frontenhausen, M;4821
09279116;      Gottfrieding;2629
09279122;      Landau a.d.Isar, St;14801
09279124;      Loiching;3814
09279125;      Mamming;3391
09279126;      Marklkofen;3813
09279127;      Mengkofen;6065
09279128;      Moosthenning;5290
09279130;      Niederviehbach;2691
09279132;      Pilsting, M;7158
09279134;      Reisbach, M;7719
09279135;      Simbach, M;4197
09279137;      Wallersdorf, M;7246
093;  Oberpfalz;1121379
09361;    Amberg (Krfr.St);42553
09362;    Regensburg (Krfr.St);151389
09363;    Weiden i.d.OPf. (Krfr.St);42444
09371;    Amberg-Sulzbach (Lkr);103982
09371111;      Ammerthal;2051
09371113;      Auerbach i.d.OPf., St;8846
09371116;      Birgland;1828
09371118;      Ebermannsdorf;2404
09371119;      Edelsfeld;1972
09371120;      Ensdorf;2160
09371121;      Freihung, M;2545
09371122;      Freudenberg;4064
09371123;      Gebenbach;852
09371126;      Hahnbach, M;4987
09371127;      Hirschau, St;5726
09371128;      Hirschbach;1184
09371129;      Hohenburg, M;1805
09371131;      Illschwang;2114
09371132;      Kastl, M;2550
09371135;      Königstein, M;1723
09371136;      Kümmersbruck;9830
09371140;      Etzelwang;1387
09371141;      Neukirchen b.Sulzbach-Rosenberg;2514
09371144;      Poppenricht;3360
09371146;      Rieden, M;2640
09371148;      Schmidmühlen, M;2322
09371150;      Schnaittenbach, St;4304
09371151;      Sulzbach-Rosenberg, St;19379
09371154;      Ursensollen;3809
09371156;      Vilseck, St;6382
09371157;      Weigendorf;1244
09371444;      Gemeindefreie Gebiete;-
09372;    Cham (Lkr);128534
09372112;      Arnschwang;2005
09372113;      Arrach;2314
09372115;      Blaibach;1891
09372116;      Cham, St;17433
09372117;      Chamerau;2498
09372124;      Eschlkam, M;3314
09372125;      Falkenstein, M;3398
09372126;      Furth im Wald, St;8659
09372128;      Gleißenberg;796
